Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
New Year's Day,01/01/2027,,01/01/2027,,True,"Aotearoa NZ | Date status: Confirmed. National holiday/observance in Aotearoa New Zealand. Technology context: Design, communication, history, systems or community context Source: https://www.govt.nz/browse/work/public-holidays-and-work/public-holidays-and-anniversary-dates/",,False
Ramadan begins (approx.),02/08/2027,,03/09/2027,,True,"Muslim | Date status: Provisional. Approximate start of Ramadan; Islamic dates depend on lunar observation and may vary by a day. Technology context: Food technology, timekeeping, cultural design and respectful communication Source: https://www.ethniccommunities.govt.nz/resources/key-events-and-dates-for-nz",,False
International Day of Women and Girls in Science,02/11/2027,,02/11/2027,,True,"STEAM / Inclusion | Date status: Fixed. Annual international observance. Technology context: STEM careers, data and design Source: https://www.un.org/en/observances/list-days-weeks",,False
World Radio Day,02/13/2027,,02/13/2027,,True,"Technology / Media | Date status: Fixed. Annual international observance. Technology context: Communication systems, audio and broadcasting Source: https://www.un.org/en/observances/list-days-weeks",,False
Valentine's Day,02/14/2027,,02/14/2027,,True,"Community / Cultural | Date status: Fixed. Widely observed in New Zealand. Technology context: Packaging, cards, graphics and product design Source: https://www.timeanddate.com/holidays/new-zealand/2027",,False
International Mother Language Day,02/21/2027,,02/21/2027,,True,"Culture / Language | Date status: Fixed. Annual international observance. Technology context: Typography, translation, inclusive UI Source: https://www.un.org/en/observances/list-days-weeks",,False
World Wildlife Day,03/03/2027,,03/03/2027,,True,"Animals / Environment | Date status: Fixed. Annual international observance. Technology context: Conservation technology, campaign design Source: https://www.un.org/en/observances/list-days-weeks",,False
International Women's Day,03/08/2027,,03/08/2027,,True,"Culture / Inclusion | Date status: Fixed. Annual international observance. Technology context: Design, technology careers, communication Source: https://www.un.org/en/observances/list-days-weeks",,False
Eid al-Fitr (approx.),03/10/2027,,03/10/2027,,True,"Muslim | Date status: Provisional. Approximate Eid al-Fitr date; may vary with lunar observation. Technology context: Food, textiles, celebration design and visual communication Source: https://www.ethniccommunities.govt.nz/resources/key-events-and-dates-for-nz",,False
International Day of Mathematics / Pi Day,03/14/2027,,03/14/2027,,True,"STEAM | Date status: Fixed. Annual international observance. Technology context: Algorithms, geometry, CAD, coding Source: https://www.un.org/en/observances/list-days-weeks",,False
Nowruz,03/20/2027,,03/20/2027,,True,"Persian / Central Asian cultures | Date status: Calculated. Persian New Year around the March equinox. Technology context: Pattern, cultural design, food and product design Source: https://www.ethniccommunities.govt.nz/resources/key-events-and-dates-for-nz",,False
World Storytelling Day,03/20/2027,,03/20/2027,,True,"Culture / Media | Date status: Fixed. Annual international observance. Technology context: Digital storytelling, animation, media Source: https://www.un.org/en/observances/list-days-weeks",,False
World Poetry Day,03/21/2027,,03/21/2027,,True,"Culture / Media | Date status: Fixed. Annual international observance. Technology context: Typography, visual communication, digital publishing Source: https://www.un.org/en/observances/list-days-weeks",,False
Holi,03/22/2027,,03/22/2027,,True,"Hindu | Date status: Provisional. Festival of colours; lunar-calendar date should be rechecked closer to 2027. Technology context: Colour theory, textiles, graphics, cultural design Source: https://www.ethniccommunities.govt.nz/resources/key-events-and-dates-for-nz",,False
World Water Day,03/22/2027,,03/22/2027,,True,"Environment | Date status: Fixed. Annual international observance. Technology context: Water systems, filtration, sustainability Source: https://www.un.org/en/observances/list-days-weeks",,False
Good Friday,03/26/2027,,03/26/2027,,True,"Aotearoa NZ | Date status: Confirmed. National holiday/observance in Aotearoa New Zealand. Technology context: Design, communication, history, systems or community context Source: https://www.govt.nz/browse/work/public-holidays-and-work/public-holidays-and-anniversary-dates/",,False
Easter Sunday,03/28/2027,,03/28/2027,,True,"Aotearoa NZ | Date status: Calculated. National holiday/observance in Aotearoa New Zealand. Technology context: Design, communication, history, systems or community context Source: https://www.govt.nz/browse/work/public-holidays-and-work/public-holidays-and-anniversary-dates/",,False
Easter Monday,03/29/2027,,03/29/2027,,True,"Aotearoa NZ | Date status: Confirmed. National holiday/observance in Aotearoa New Zealand. Technology context: Design, communication, history, systems or community context Source: https://www.govt.nz/browse/work/public-holidays-and-work/public-holidays-and-anniversary-dates/",,False
April Fools' Day,04/01/2027,,04/01/2027,,True,"Media / Digital Literacy | Date status: Fixed. Widely observed in New Zealand. Technology context: Misinformation, deceptive design and media literacy Source: https://www.timeanddate.com/holidays/new-zealand/2027",,False
Super Rugby Pacific Super Round – Christchurch,04/02/2027,,04/04/2027,,True,"Sport / NZ | Date status: Confirmed. All ten Super Rugby Pacific teams gather in Ōtautahi Christchurch. Technology context: Sports analytics, stadium technology, graphics and data Source: https://www.allblacks.com/news/super-round-returns-to-otautahi-christchurch-in-2027",,False
World Autism Awareness Day,04/02/2027,,04/02/2027,,True,"Accessibility / Inclusion | Date status: Fixed. Annual international observance. Technology context: Inclusive design, UX and sensory considerations Source: https://www.un.org/en/observances/list-days-weeks",,False
Vaisakhi,04/14/2027,,04/14/2027,,True,"Sikh / Punjabi | Date status: Calculated. Significant Sikh and Punjabi festival. Technology context: Food, textiles, identity and visual communication Source: https://www.ethniccommunities.govt.nz/resources/key-events-and-dates-for-nz",,False
World Art Day,04/15/2027,,04/15/2027,,True,"Design / Creativity | Date status: Fixed. Annual international observance. Technology context: Visual communication, digital media Source: https://www.un.org/en/observances/list-days-weeks",,False
Conservation Week,04/19/2027,,04/25/2027,,True,"Environment | Date status: Provisional. 2027 week inferred from DOC's 20–26 April 2026 observance pattern. Technology context: Sustainability, conservation technology, materials and product design Source: https://www.doc.govt.nz/news/events/national-events",,False
World Creativity and Innovation Day,04/21/2027,,04/21/2027,,True,"Technology / Design | Date status: Fixed. Annual international observance. Technology context: Innovation, prototyping, problem solving Source: https://www.un.org/en/observances/list-days-weeks",,False
Earth Day,04/22/2027,,04/22/2027,,True,"Environment | Date status: Fixed. Annual international observance. Technology context: Sustainable design, materials, product lifecycle Source: https://www.un.org/en/observances/list-days-weeks",,False
World Book Day,04/23/2027,,04/23/2027,,True,"Culture / Media | Date status: Fixed. Annual international observance. Technology context: Publishing, layout, digital media Source: https://www.un.org/en/observances/list-days-weeks",,False
ANZAC Day,04/25/2027,,04/25/2027,,True,"Aotearoa NZ | Date status: Confirmed. National holiday/observance in Aotearoa New Zealand. Technology context: Design, communication, history, systems or community context Source: https://www.govt.nz/browse/work/public-holidays-and-work/public-holidays-and-anniversary-dates/",,False
ANZAC Day Bledisloe Cup – All Blacks v Australia,04/25/2027,,04/25/2027,,True,"Sport / NZ | Date status: Confirmed. Inaugural ANZAC Day Bledisloe Cup Test in Brisbane. Technology context: Sports data, wearable technology, broadcast graphics and stadium systems Source: https://www.allblacks.com/news/all-blacks/anzac-day-bledisloe-cup-test-to-launch-new-trans-tasman-tradition",,False
World Intellectual Property Day,04/26/2027,,04/26/2027,,True,"Technology / Legal | Date status: Fixed. Annual international observance. Technology context: Copyright, IP, design ownership Source: https://www.un.org/en/observances/list-days-weeks",,False
World Press Freedom Day,05/03/2027,,05/03/2027,,True,"Media / Society | Date status: Fixed. Annual international observance. Technology context: Digital media, misinformation, publishing Source: https://www.un.org/en/observances/list-days-weeks",,False
Mother's Day,05/09/2027,,05/09/2027,,True,"Community | Date status: Calculated. Widely observed in New Zealand. Technology context: Product, packaging, textiles and food design Source: https://www.timeanddate.com/holidays/new-zealand/2027",,False
Pink Shirt Day,05/14/2027,,05/14/2027,,True,"Charity / Wellbeing | Date status: Provisional. 2027 date inferred from the 2026 Friday observance pattern. Technology context: Campaign design, graphics, textiles, social media Source: https://pinkshirtday.org.nz/about/faqs",,False
International Day of Families,05/15/2027,,05/15/2027,,True,Community | Date status: Fixed. Annual international observance. Technology context: Human-centred design Source: https://www.un.org/en/observances/list-days-weeks,,False
World Telecommunication and Information Society Day,05/17/2027,,05/17/2027,,True,"Digital Technologies | Date status: Fixed. Annual international observance. Technology context: Networks, internet, communication Source: https://www.un.org/en/observances/list-days-weeks",,False
Vesak / Buddha Day,05/20/2027,,05/20/2027,,True,"Buddhist | Date status: Provisional. Major Buddhist observance; exact local observance can vary. Technology context: Cultural design, symbolism, respectful communication Source: https://www.ethniccommunities.govt.nz/resources/key-events-and-dates-for-nz",,False
World Bee Day,05/20/2027,,05/20/2027,,True,"Environment / Animals | Date status: Fixed. Annual international observance. Technology context: Smart gardens, sensors, conservation Source: https://www.un.org/en/observances/list-days-weeks",,False
World Day for Cultural Diversity,05/21/2027,,05/21/2027,,True,Culture | Date status: Fixed. Annual international observance. Technology context: Culturally responsive design Source: https://www.un.org/en/observances/list-days-weeks,,False
International Day for Biological Diversity,05/22/2027,,05/22/2027,,True,"Environment | Date status: Fixed. Annual international observance. Technology context: Data collection, conservation technology Source: https://www.un.org/en/observances/list-days-weeks",,False
Louis Vuitton Cup / America's Cup programme begins,05/22/2027,,05/23/2027,,True,"Sport / NZ / Technology | Date status: Confirmed. Opening fleet-racing weekend in Naples; Emirates Team New Zealand is defender. Technology context: Hydrofoils, aerodynamics, composites, sensors, control systems and CAD Source: https://emirates-team-new-zealand.americascup.com/en/news/813_2027-THE-LOUIS-VUITTON-38TH-AMERICA-S-CUP-MAY-JULY-2027.html",,False
World Environment Day / NZ Arbor Day,06/05/2027,,06/05/2027,,True,"Environment | Date status: Fixed. Annual international observance. Technology context: Sustainability, materials, ecological design Source: https://www.un.org/en/observances/list-days-weeks",,False
King's Birthday,06/07/2027,,06/07/2027,,True,"Aotearoa NZ | Date status: Confirmed. National holiday/observance in Aotearoa New Zealand. Technology context: Design, communication, history, systems or community context Source: https://www.govt.nz/browse/work/public-holidays-and-work/public-holidays-and-anniversary-dates/",,False
World Oceans Day,06/08/2027,,06/08/2027,,True,"Environment | Date status: Fixed. Annual international observance. Technology context: Marine technology, plastics, product design Source: https://www.un.org/en/observances/list-days-weeks",,False
World Refugee Day,06/20/2027,,06/20/2027,,True,Culture / Community | Date status: Fixed. Annual international observance. Technology context: Human-centred design and communication Source: https://www.un.org/en/observances/list-days-weeks,,False
Matariki Public Holiday,06/25/2027,,06/25/2027,,True,"Aotearoa NZ | Date status: Confirmed. National holiday/observance in Aotearoa New Zealand. Technology context: Design, communication, history, systems or community context Source: https://www.govt.nz/browse/work/public-holidays-and-work/public-holidays-and-anniversary-dates/",,False
Matariki Tangaroa lunar period,06/27/2027,,06/30/2027,,True,"Māori | Date status: Confirmed. Tangaroa lunar period associated with Matariki in 2027. Technology context: Mātauranga Māori, astronomy, navigation, food, design and digital media Source: https://www.mch.govt.nz/engagement-maori/matariki",,False
38th America's Cup Match,07/10/2027,,07/18/2027,,True,"Sport / NZ / Technology | Date status: Confirmed. America's Cup Match begins in Naples with Emirates Team New Zealand defending. Technology context: Hydrofoils, aerodynamics, composites, sensors, control systems and CAD Source: https://www.americascup.com/38th-americascup",,False
World Population Day,07/11/2027,,07/11/2027,,True,"Data / Society | Date status: Fixed. Annual international observance. Technology context: Data visualisation, databases Source: https://www.un.org/en/observances/list-days-weeks",,False
World Youth Skills Day,07/15/2027,,07/15/2027,,True,Education / Technology | Date status: Fixed. Annual international observance. Technology context: Technology careers and practical skills Source: https://www.un.org/en/observances/list-days-weeks,,False
International Day of Friendship,07/30/2027,,07/30/2027,,True,Community | Date status: Fixed. Annual international observance. Technology context: Communication and social design Source: https://www.un.org/en/observances/list-days-weeks,,False
World Ranger Day,07/31/2027,,07/31/2027,,True,Environment | Date status: Fixed. Annual international observance. Technology context: Conservation technology Source: https://www.un.org/en/observances/list-days-weeks,,False
Cook Islands Māori Language Week,08/01/2027,,08/07/2027,,True,"Pacific / Language | Date status: Provisional. 2027 dates inferred from the most recent Ministry of Education observance pattern; update if official 2027 dates are published. Technology context: Language, typography, culturally responsive design, digital media Source: https://www.education.govt.nz/bulletins/esol-migrant-refugee-news/20-07-26",,False
International Day of the World's Indigenous Peoples,08/09/2027,,08/09/2027,,True,Culture / Indigenous | Date status: Fixed. Annual international observance. Technology context: Indigenous knowledge and design Source: https://www.un.org/en/observances/list-days-weeks,,False
International Youth Day,08/12/2027,,08/12/2027,,True,Community | Date status: Fixed. Annual international observance. Technology context: Youth-centred design Source: https://www.un.org/en/observances/list-days-weeks,,False
Tonga Language Week,08/15/2027,,08/21/2027,,True,"Pacific / Language | Date status: Provisional. 2027 dates inferred from the most recent Ministry of Education observance pattern; update if official 2027 dates are published. Technology context: Language, typography, culturally responsive design, digital media Source: https://www.education.govt.nz/bulletins/esol-migrant-refugee-news/20-07-26",,False
World Humanitarian Day,08/19/2027,,08/19/2027,,True,Community | Date status: Fixed. Annual international observance. Technology context: Design for emergencies and humanitarian needs Source: https://www.un.org/en/observances/list-days-weeks,,False
Daffodil Day,08/27/2027,,08/27/2027,,True,"Charity / Health | Date status: Provisional. 2027 date inferred as the last Friday of August from the 2026 Cancer Society observance. Technology context: Fundraising campaign, collection-box/product design, graphics, digital media Source: https://www.cancer.org.nz/about-us/latest-news/kiwis-invited-to-take-the-plunge-for-cancer-support-this-daffodil-day/",,False
Father's Day,09/05/2027,,09/05/2027,,True,"Community | Date status: Calculated. Widely observed in New Zealand. Technology context: Product, packaging, textiles and food design Source: https://www.timeanddate.com/holidays/new-zealand/2027",,False
Papua New Guinea Pidgin Language Week,09/05/2027,,09/11/2027,,True,"Pacific / Language | Date status: Provisional. 2027 dates inferred from the most recent Ministry of Education observance pattern; update if official 2027 dates are published. Technology context: Language, typography, culturally responsive design, digital media Source: https://www.education.govt.nz/bulletins/esol-migrant-refugee-news/20-07-26",,False
International Literacy Day,09/08/2027,,09/08/2027,,True,Education | Date status: Fixed. Annual international observance. Technology context: Digital literacy and information design Source: https://www.un.org/en/observances/list-days-weeks,,False
Te Wiki o te Reo Māori / Māori Language Week,09/13/2027,,09/19/2027,,True,"Māori / Language | Date status: Provisional. 2027 dates inferred from the most recent Ministry of Education observance pattern; update if official 2027 dates are published. Technology context: Language, typography, culturally responsive design, digital media Source: https://www.education.govt.nz/bulletins/esol-migrant-refugee-news/20-07-26",,False
International Day of Democracy,09/15/2027,,09/15/2027,,True,"Civics / Society | Date status: Fixed. Annual international observance. Technology context: Voting systems, data, interface design Source: https://www.un.org/en/observances/list-days-weeks",,False
International Day for the Preservation of the Ozone Layer,09/16/2027,,09/16/2027,,True,Environment | Date status: Fixed. Annual international observance. Technology context: Environmental data and technology Source: https://www.un.org/en/observances/list-days-weeks,,False
International Day of Peace,09/21/2027,,09/21/2027,,True,Community | Date status: Fixed. Annual international observance. Technology context: Campaign and communication design Source: https://www.un.org/en/observances/list-days-weeks,,False
International Day of Sign Languages,09/23/2027,,09/23/2027,,True,Accessibility / Language | Date status: Fixed. Annual international observance. Technology context: Accessible communication and interface design Source: https://www.un.org/en/observances/list-days-weeks,,False
Tuvalu Language Week,09/26/2027,,10/02/2027,,True,"Pacific / Language | Date status: Provisional. 2027 dates inferred from the most recent Ministry of Education observance pattern; update if official 2027 dates are published. Technology context: Language, typography, culturally responsive design, digital media Source: https://www.education.govt.nz/bulletins/esol-migrant-refugee-news/20-07-26",,False
World Tourism Day,09/27/2027,,09/27/2027,,True,Tourism / Local | Date status: Fixed. Annual international observance. Technology context: Hokitika/West Coast tourism design and digital media Source: https://www.un.org/en/observances/list-days-weeks,,False
Men's Rugby World Cup 2027,10/01/2027,,11/13/2027,,True,"Sport / NZ | Date status: Confirmed. Rugby World Cup in Australia. Technology context: Sports analytics, digital media, stadium technology and data visualisation Source: https://www.rugbyworldcup.com/news/1020949/mens-rugby-world-cup-2027-schedule-revealed-with-first-tickets-available-from-18-february",,False
All Blacks v Chile – Rugby World Cup,10/02/2027,,10/02/2027,,True,"Sport / NZ | Date status: Confirmed. Major 2027 Rugby World Cup fixture. Technology context: Sports analytics, statistics, broadcast design and digital media Source: https://www.allblacks.com/news/all-blacks-rugby-world-cup-2027-campaign-to-kick-off-against-chile",,False
Fijian Language Week,10/03/2027,,10/09/2027,,True,"Pacific / Language | Date status: Provisional. 2027 dates inferred from the most recent Ministry of Education observance pattern; update if official 2027 dates are published. Technology context: Language, typography, culturally responsive design, digital media Source: https://www.education.govt.nz/bulletins/esol-migrant-refugee-news/07-09-26",,False
World Teachers' Day,10/05/2027,,10/05/2027,,True,Education | Date status: Fixed. Annual international observance. Technology context: Design for teaching and learning Source: https://www.un.org/en/observances/list-days-weeks,,False
All Blacks v Australia – Rugby World Cup,10/09/2027,,10/09/2027,,True,"Sport / NZ | Date status: Confirmed. Major 2027 Rugby World Cup fixture. Technology context: Sports analytics, statistics, broadcast design and digital media Source: https://www.allblacks.com/news/all-blacks-rugby-world-cup-2027-campaign-to-kick-off-against-chile",,False
World Mental Health Day,10/10/2027,,10/10/2027,,True,"Wellbeing | Date status: Fixed. Annual international observance. Technology context: Ethical, accessible and supportive design Source: https://www.un.org/en/observances/list-days-weeks",,False
Mental Health Awareness Week,10/11/2027,,10/17/2027,,True,"Wellbeing | Date status: Provisional. 2027 week inferred from the 12–18 October 2026 pattern. Technology context: Human-centred design, UX, communication and ethical design Source: https://mhaw.nz/",,False
All Blacks v Hong Kong China – Rugby World Cup,10/15/2027,,10/15/2027,,True,"Sport / NZ | Date status: Confirmed. Major 2027 Rugby World Cup fixture. Technology context: Sports analytics, statistics, broadcast design and digital media Source: https://www.allblacks.com/news/all-blacks-rugby-world-cup-2027-campaign-to-kick-off-against-chile",,False
World Food Day,10/16/2027,,10/16/2027,,True,"Food Technology | Date status: Fixed. Annual international observance. Technology context: Food systems, packaging, sustainability Source: https://www.un.org/en/observances/list-days-weeks",,False
International Day for the Eradication of Poverty,10/17/2027,,10/17/2027,,True,Community | Date status: Fixed. Annual international observance. Technology context: Social innovation and design Source: https://www.un.org/en/observances/list-days-weeks,,False
Niue Language Week,10/17/2027,,10/23/2027,,True,"Pacific / Language | Date status: Provisional. 2027 dates inferred from the most recent Ministry of Education observance pattern; update if official 2027 dates are published. Technology context: Language, typography, culturally responsive design, digital media Source: https://www.education.govt.nz/bulletins/esol-migrant-refugee-news/07-09-26",,False
Tokelau Language Week,10/24/2027,,10/30/2027,,True,"Pacific / Language | Date status: Provisional. 2027 dates inferred from the most recent Ministry of Education observance pattern; update if official 2027 dates are published. Technology context: Language, typography, culturally responsive design, digital media Source: https://www.education.govt.nz/bulletins/esol-migrant-refugee-news/07-09-26",,False
United Nations Day,10/24/2027,,10/24/2027,,True,"International | Date status: Fixed. Annual international observance. Technology context: Global systems, communication and design Source: https://www.un.org/en/observances/list-days-weeks",,False
Labour Day,10/25/2027,,10/25/2027,,True,"Aotearoa NZ | Date status: Confirmed. National holiday/observance in Aotearoa New Zealand. Technology context: Design, communication, history, systems or community context Source: https://www.govt.nz/browse/work/public-holidays-and-work/public-holidays-and-anniversary-dates/",,False
Diwali / Deepavali,10/29/2027,,10/29/2027,,True,"Hindu / Sikh / Jain | Date status: Provisional. Festival of lights; lunar-calendar date should be rechecked closer to 2027. Technology context: Lighting, electronics, pattern, packaging and food Source: https://www.ethniccommunities.govt.nz/resources/key-events-and-dates-for-nz",,False
Halloween,10/31/2027,,10/31/2027,,True,"Cultural / Seasonal | Date status: Fixed. Widely observed in New Zealand. Technology context: Costume, graphics, food, product and digital design Source: https://www.timeanddate.com/holidays/new-zealand/2027",,False
Guy Fawkes Night,11/05/2027,,11/05/2027,,True,"Seasonal / Safety | Date status: Fixed. Widely observed in New Zealand. Technology context: Safety, materials, public information design Source: https://www.timeanddate.com/holidays/new-zealand/2027",,False
World Science Day for Peace and Development,11/10/2027,,11/10/2027,,True,STEAM | Date status: Fixed. Annual international observance. Technology context: Science/technology communication Source: https://www.un.org/en/observances/list-days-weeks,,False
Men's Rugby World Cup Final,11/13/2027,,11/13/2027,,True,"Sport / NZ | Date status: Confirmed. Major 2027 Rugby World Cup fixture. Technology context: Sports analytics, statistics, broadcast design and digital media Source: https://www.rugbyworldcup.com/news/1020949/mens-rugby-world-cup-2027-schedule-revealed-with-first-tickets-available-from-18-february",,False
World Kindness Day,11/13/2027,,11/13/2027,,True,Community | Date status: Fixed. Annual international observance. Technology context: Design for positive social impact Source: https://www.un.org/en/observances/list-days-weeks,,False
World Diabetes Day,11/14/2027,,11/14/2027,,True,Health | Date status: Fixed. Annual international observance. Technology context: Health technology and information design Source: https://www.un.org/en/observances/list-days-weeks,,False
World Children's Day,11/20/2027,,11/20/2027,,True,"Children / Community | Date status: Fixed. Annual international observance. Technology context: Design for children, accessibility and safety Source: https://www.un.org/en/observances/list-days-weeks",,False
Solomon Islands Pidgin Language Week,11/21/2027,,11/27/2027,,True,"Pacific / Language | Date status: Provisional. 2027 dates inferred from the most recent Ministry of Education observance pattern; update if official 2027 dates are published. Technology context: Language, typography, culturally responsive design, digital media Source: https://www.education.govt.nz/bulletins/esol-migrant-refugee-news/07-09-26",,False
Westland Anniversary Day,11/29/2027,,11/29/2027,,True,"West Coast / Local | Date status: Confirmed. Observed regional anniversary day for Westland. Technology context: Local history, tourism, product or visual communication Source: https://www.govt.nz/browse/work/public-holidays-and-work/public-holidays-and-anniversary-dates/",,False
International Day of Persons with Disabilities,12/03/2027,,12/03/2027,,True,"Accessibility / Inclusion | Date status: Fixed. Annual international observance. Technology context: Universal design, assistive technology Source: https://www.un.org/en/observances/list-days-weeks",,False
International Volunteer Day,12/05/2027,,12/05/2027,,True,Community | Date status: Fixed. Annual international observance. Technology context: Community campaigns and service design Source: https://www.un.org/en/observances/list-days-weeks,,False
Human Rights Day,12/10/2027,,12/10/2027,,True,"Civics / Society | Date status: Fixed. Annual international observance. Technology context: Ethics, privacy, accessible design Source: https://www.un.org/en/observances/list-days-weeks",,False
Christmas,12/25/2027,,12/25/2027,,True,"Christian / Cultural | Date status: Fixed. Christmas Day. Technology context: Product design, packaging, food, textiles, digital media Source: https://www.ethniccommunities.govt.nz/resources/key-events-and-dates-for-nz",,False
Christmas Day,12/25/2027,,12/25/2027,,True,"Aotearoa NZ | Date status: Confirmed. National holiday/observance in Aotearoa New Zealand. Technology context: Design, communication, history, systems or community context Source: https://www.govt.nz/browse/work/public-holidays-and-work/public-holidays-and-anniversary-dates/",,False
Boxing Day,12/26/2027,,12/26/2027,,True,"Aotearoa NZ | Date status: Confirmed. National holiday/observance in Aotearoa New Zealand. Technology context: Design, communication, history, systems or community context Source: https://www.govt.nz/browse/work/public-holidays-and-work/public-holidays-and-anniversary-dates/",,False
New Year's Eve,12/31/2027,,12/31/2027,,True,"Seasonal | Date status: Fixed. Widely observed in New Zealand. Technology context: Event graphics, countdown systems and digital media Source: https://www.timeanddate.com/holidays/new-zealand/2027",,False
